player_id,player_name,age,nationality,team,jersey_number,position,height_cm,weight_kg,preferred_foot,club_name,market_value_eur,match_id,match_date,stadium,city,opponent_team,tournament_stage,match_result,goals_team,goals_opponent,minutes_played,goals,assists,shots,shots_on_target,expected_goals_xg,expected_assists_xa,key_passes,successful_passes,total_passes,pass_accuracy,dribbles_attempted,successful_dribbles,crosses,successful_crosses,tackles,interceptions,clearances,blocks,aerial_duels_won,aerial_duels_lost,recoveries,defensive_actions,fouls_committed,fouls_suffered,yellow_cards,red_cards,offsides,saves,save_percentage,punches,clean_sheet,goals_conceded,penalty_saves,distance_covered_km,sprint_distance_km,top_speed_kmh,accelerations,decelerations,stamina_score,player_rating,performance_score,offensive_contribution,defensive_contribution,possession_impact,pressure_resistance,creativity_score,consistency_score,clutch_performance_score,total_goals_tournament,total_assists_tournament,total_minutes_tournament,player_of_match_awards,tournament_rating
P00057,Gavi Asensio,22,Spanish,Spain,5,Defender,187,76,Right,Grasshoppers,1169641,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,84,0.0,0,24.3,45.4,0,48.5,27,54,39,0,0,213,0,0.0
P00062,Marco Carvajal,33,Spanish,Spain,10,Defender,175,73,Right,Grasshoppers,50389187,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,69,0.0,0,38.8,99.0,0,55.5,28,99,63,0,1,291,0,0.0
P00077,Ferran Morata,26,Spanish,Spain,25,Forward,188,78,Right,Borussia Dortmund,19184237,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,79,0.0,0,99.0,18.1,0,59.0,54,79,81,0,1,357,0,0.0
P00064,Aymeric Yamal,27,Spanish,Spain,12,Defender,181,80,Left,Feyenoord,4476815,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,79,0.0,8,25.1,50.6,0,55.1,40,52,51,0,0,261,0,0.0
P00061,Ansu Alba,28,Spanish,Spain,9,Defender,193,83,Right,Dinamo Zagreb,22482687,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,93,0.0,1,58.3,99.0,0,87.8,28,72,50,1,1,209,0,0.0
P00068,Alvaro Llorente,19,Spanish,Spain,16,Midfielder,186,80,Right,Partizan,37350285,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,72,0.0,5,79.3,69.5,0,80.6,97,88,51,0,1,281,0,0.0
P00060,Ferran Pau,35,Spanish,Spain,8,Defender,179,72,Right,Sporting CP,2223129,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,79,0.0,2,25.4,37.5,0,47.3,34,45,44,0,0,167,0,0.0
P00075,Rodri Mikel,25,Spanish,Spain,23,Forward,173,73,Right,Inter Milan,48284094,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,66,0.0,0,88.9,14.8,0,70.9,72,85,61,0,2,172,0,0.0
P00063,Dani Garcia,28,Spanish,Spain,11,Defender,183,80,Right,Porto,2850234,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,99,0.0,4,10.0,51.3,0,40.5,15,52,53,0,1,142,0,0.0
P00065,Pedro Riquelme,24,Spanish,Spain,13,Midfielder,171,67,Right,Young Boys,6535074,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,60,0.0,0,34.2,27.5,0,23.1,44,48,54,0,1,402,0,0.0
